subset,gamma
"PRest,PL,Kbile,GFR,Kreab",1563.0757777628976
"PK,PL,Kbile,Free,Kurine",1501.410405789807
"PK,Kbile,GFR,Vmax_baso,Km_baso",1464.6930313174184
"PRest,PK,PL,Kbile,Kurine",1435.8901122761224
"PRest,PL,Kbile,Free,Kurine",1360.7205409227113
"PRest,PK,PL,Kurine,Kreab",1147.9434180096127
"PK,PL,Free,Kurine,Kreab",1120.46490466885
"PRest,PL,Free,Kurine,Kreab",1082.8803171721784
"PK,PL,GFR,Vmax_baso,Km_baso",1013.5065295901431
"PRest,PK,Free,Kurine,Kreab",977.0931653325449
"PK,Kbile,Free,Kurine,Kreab",974.4900855902166
"PRest,PK,PL,Free,Kurine",938.9652656002446
"PRest,PK,Kbile,Free,Kurine",894.735975099263
"PRest,PK,Kbile,Kurine,Kreab",844.9089220715692
"PK,PL,Kbile,Free,Kreab",706.7642709949395
"PRest,PK,PL,Kbile,Kreab",686.8408894480486
"PRest,PL,Kbile,Free,Kreab",646.9336338019359
"PRest,Kbile,Free,Kurine,Kreab",636.6051963487369
"PRest,PK,PL,Free,Kreab",430.2832268389172
"PRest,PK,Kbile,Free,Kreab",409.51854580425874
"PRest,PL,Kbile,Free,Km_baso",392.3283979569757
"PRest,PL,Kbile,GFR,Km_baso",385.1281848797014
"PRest,PK,Kbile,Free,Km_baso",381.28159050117466
"PRest,PK,Kbile,GFR,Km_baso",366.19786945047906
"PRest,PK,PL,Free,Km_baso",349.5591654146727
"PRest,PK,PL,Kbile,Km_baso",335.37967752817764
"PRest,PK,PL,GFR,Km_baso",330.5168406796234
"PRest,PK,PL,Kbile,GFR",308.8852475514316
"PK,PL,Kbile,Free,Km_baso",280.0270946152601
"PK,PL,Kbile,GFR,Km_baso",217.81366699876384
"PRest,PK,PL,Kbile,Free",125.94911129446402
